,x1,x2,y
0,0.0,10,7.5
1,0.0,50,15.0
2,0.0,85,22.0
3,0.0,110,28.6
4,0.0,140,31.6
5,0.0,170,34.0
6,0.0,200,35.0
7,0.0,230,35.5
8,0.0,260,36.5
9,0.0,290,38.5
10,0.0,10,12.3
11,0.0,30,18.0
12,0.0,62,20.8
13,0.0,90,25.7
14,0.0,150,32.5
15,0.0,210,34.0
16,0.0,270,35.0
17,0.02,10,14.4
18,0.02,30,19.0
19,0.02,60,26.4
20,0.02,90,28.5
21,0.02,120,29.0
22,0.02,210,35.0
23,0.02,30,15.1
24,0.02,60,26.4
25,0.02,120,27.0
26,0.02,150,29.0
27,0.05,20,21.0
28,0.05,40,27.3
29,0.05,130,48.5
30,0.05,190,50.4
31,0.05,250,52.5
32,0.05,60,34.4
33,0.05,90,46.5
34,0.05,120,50.0
35,0.05,150,51.9
